#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,Zack Wheeler,PHI,13,6,0,32,32,192,9.94,1.83,0.94,0.292,71.30%,41.20%,9.90%,96,3.61,3.21,3.15,3.54,5.9
2,Spencer Strider,ATL,20,5,0,32,32,186.2,13.55,2.8,1.06,0.316,70.30%,34.10%,12.20%,97.4,3.86,3.09,2.85,2.92,5.5
3,Kevin Gausman,TOR,12,9,0,31,31,185,11.53,2.68,0.92,0.321,76.60%,42.60%,10.70%,94.6,3.16,3.87,2.97,3.22,5.3
4,Sonny Gray,MIN,8,8,0,32,32,184,8.95,2.69,0.39,0.295,76.80%,47.30%,5.20%,92.8,2.79,3.69,2.83,3.64,5.3
5,Gerrit Cole,NYY,15,4,0,33,33,209,9.56,2.07,0.86,0.261,80.40%,39.60%,9.40%,96.8,2.63,3.48,3.16,3.6,5.2
6,Zac Gallen,ARI,17,9,0,34,34,210,9.43,2.01,0.94,0.301,73.10%,41.80%,10.90%,93.5,3.47,4.18,3.26,3.49,5.2
7,Justin Steele,CHC,16,5,0,30,30,173.1,9.14,1.87,0.73,0.317,73.00%,49.40%,9.90%,,3.06,3.5,3.02,3.32,4.9
8,Logan Webb,SFG,11,13,0,33,33,216,8.08,1.29,0.83,0.302,73.70%,62.10%,15.40%,92.7,3.25,3.66,3.16,2.95,4.9
9,Zach Eflin,TBR,16,8,0,31,31,177.2,9.42,1.22,0.96,0.295,73.20%,49.80%,11.70%,93.1,3.5,3.11,3.01,3.12,4.8
10,Pablo López,MIN,11,8,0,32,32,194,10.86,2.23,1.11,0.313,76.20%,45.20%,13.10%,94.9,3.66,3,3.33,3.28,4.5
11,George Kirby,SEA,13,10,0,31,31,190.2,8.12,0.9,1.04,0.292,75.10%,44.20%,10.70%,96.2,3.35,3.82,3.34,3.63,4.4
12,Framber Valdez,HOU,12,11,0,31,31,198,9.09,2.59,0.86,0.282,71.20%,54.20%,14.00%,95.7,3.45,4.33,3.5,3.39,4.3
13,Blake Snell,SDP,14,9,0,32,32,180,11.7,4.95,0.75,0.256,86.70%,44.40%,10.90%,95.7,2.25,3.77,3.44,3.62,4.1
14,Aaron Nola,PHI,12,9,0,32,32,193.2,9.39,2.09,1.49,0.285,66.40%,42.60%,15.60%,92.9,4.46,3.77,4.03,3.63,3.9
15,Kyle Bradish,BAL,12,7,0,30,30,168.2,8.96,2.35,0.75,0.27,79.10%,49.20%,10.20%,,2.83,3.82,3.27,3.53,3.8
16,Jesús Luzardo,MIA,10,10,0,32,32,178.2,10.48,2.77,1.11,0.311,74.90%,40.20%,11.50%,96.8,3.58,3.96,3.55,3.72,3.7
17,Dylan Cease,CHW,7,9,0,33,33,177,10.88,4.02,0.97,0.33,69.40%,36.00%,10.20%,95.8,4.58,4.07,3.72,4.08,3.7
18,Corbin Burnes,MIL,10,8,0,32,32,193.2,9.29,3.07,1.02,0.244,74.90%,44.10%,12.80%,95.5,3.39,3.4,3.81,3.8,3.4
19,Luis Castillo,SEA,14,9,0,33,33,197,10.01,2.56,1.28,0.267,77.00%,38.90%,12.70%,96.4,3.34,3.79,3.81,3.81,3.4
20,Kodai Senga,NYM,12,7,0,29,29,166.1,10.93,4.17,0.92,0.277,80.30%,44.70%,11.60%,95.9,2.98,3.87,3.63,3.77,3.4
21,Tarik Skubal,DET,7,3,0,15,15,80.1,11.43,1.57,0.45,0.289,67.70%,51.60%,6.80%,95.8,2.8,2.28,2,2.56,3.3
22,Mitch Keller,PIT,13,9,0,32,32,194.1,9.73,2.55,1.16,0.31,71.70%,43.70%,13.50%,95.3,4.21,4.16,3.8,3.7,3.3
23,Merrill Kelly,ARI,12,8,0,30,30,177.2,9.47,3.5,1.01,0.278,77.10%,45.20%,12.80%,92.3,3.29,4.13,3.85,3.83,3.2
24,Logan Gilbert,SEA,13,7,0,32,32,190.2,8.92,1.7,1.37,0.272,75.10%,41.40%,13.30%,95.8,3.73,3.69,3.85,3.76,3.2
25,Tyler Glasnow,TBR,10,7,0,21,21,120,12.15,2.78,0.98,0.294,70.00%,51.20%,14.40%,96.5,3.53,3.63,2.91,2.75,3.2
26,Miles Mikolas,STL,9,13,0,35,35,201.1,6.12,1.74,1.16,0.308,68.90%,38.80%,9.80%,93.5,4.78,5.41,4.27,4.76,3.1
27,Freddy Peralta,MIL,12,10,0,30,30,165.2,11.41,2.93,1.41,0.273,73.70%,41.70%,16.00%,94.4,3.86,3.35,3.85,3.42,3
28,Tanner Bibee,CLE,10,4,0,25,25,142,8.94,2.85,0.82,0.286,80.00%,36.80%,8.00%,95,2.98,3.66,3.52,4.22,3
29,Eduardo Rodriguez,DET,13,9,0,26,26,152.2,8.43,2.83,0.88,0.274,75.90%,41.00%,9.70%,92.3,3.3,4.04,3.66,4.06,3
30,José Berríos,TOR,11,12,0,32,32,189.2,8.73,2.47,1.19,0.289,76.40%,41.60%,12.60%,94.3,3.65,4.55,3.99,4.01,3
31,Braxton Garrett,MIA,9,7,0,31,30,159.2,8.79,1.63,1.13,0.302,75.90%,49.10%,15.20%,90.8,3.66,4.55,3.68,3.42,2.9
32,Sandy Alcantara,MIA,7,12,0,28,28,184.2,7.36,2.34,1.07,0.287,69.60%,52.00%,12.90%,98.1,4.14,4.3,4.03,4,2.9
33,Seth Lugo,SDP,8,7,0,26,26,146.1,8.61,2.21,1.17,0.298,76.80%,45.20%,13.30%,93.7,3.57,4.48,3.83,3.76,2.8
34,Bobby Miller,LAD,11,4,0,22,22,124.1,8.61,2.32,0.87,0.277,71.30%,47.70%,10.70%,99.1,3.76,3.45,3.51,3.75,2.8
35,Tanner Scott,MIA,9,5,12,74,0,78,12,2.77,0.35,0.291,76.80%,50.90%,6.40%,96.8,2.31,2.54,2.17,2.66,2.8
36,Félix Bautista,BAL,8,2,33,56,0,61,16.23,3.84,0.59,0.274,84.00%,35.70%,8.50%,100,1.48,2.12,1.88,2.3,2.8
37,Kyle Hendricks,CHC,6,8,0,24,24,137,6.11,1.77,0.85,0.283,67.00%,46.30%,8.50%,87.8,3.74,4.18,3.81,4.42,2.8
38,Marcus Stroman,CHC,10,9,0,27,25,136.2,7.84,3.42,0.59,0.283,65.90%,57.10%,10.20%,92.2,3.95,4.18,3.58,3.79,2.7
39,Charlie Morton,ATL,14,12,0,30,30,163.1,10.08,4.57,0.77,0.321,77.60%,43.30%,9.40%,95,3.64,4.7,3.87,4.27,2.7
40,Chris Bassitt,TOR,16,8,0,33,33,200,8.37,2.66,1.26,0.274,76.50%,42.30%,13.20%,92.5,3.6,4.04,4.28,4.21,2.6
41,Michael Wacha,SDP,14,4,0,24,24,134.1,8.31,2.88,1,0.266,79.70%,34.50%,9.10%,92.3,3.22,4.3,3.89,4.47,2.6
42,Jordan Montgomery,STL,6,9,0,21,21,121,8.03,2.6,0.89,0.297,73.10%,44.40%,9.80%,93.7,3.42,,3.73,4.12,2.6
43,Yusei Kikuchi,TOR,11,6,0,32,32,167.2,9.72,2.58,1.45,0.314,77.60%,39.70%,15.30%,95.1,3.86,4.27,4.12,3.77,2.6
44,Kyle Gibson,BAL,15,9,0,33,33,192,7.36,2.58,1.08,0.309,69.70%,48.90%,12.70%,92.2,4.73,4.73,4.13,4.13,2.6
45,Reid Detmers,LAA,4,10,0,28,28,148.2,10.17,3.63,1.15,0.318,71.00%,36.70%,11.70%,94.3,4.48,4.45,4.13,4.27,2.5
