#,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,ATL,162,2278,6249,307,947,916,132,8.60%,20.60%,0.225,0.306,0.276,0.344,0.501,0.359,,125,11.4,202.4,-18,39.6
2,LAD,162,2421,6333,249,906,877,105,10.20%,21.50%,0.197,0.294,0.257,0.34,0.455,0.341,,116,6.1,134,-4.5,34.4
3,TEX,162,2302,6306,233,881,845,79,9.50%,22.50%,0.19,0.31,0.263,0.337,0.452,0.34,,114,-9.6,97,22.9,33.3
4,TBR,162,2353,6164,230,860,827,160,8.30%,23.00%,0.185,0.308,0.26,0.331,0.445,0.335,,118,14.8,147.3,-26.7,32.9
5,HOU,162,2282,6253,222,827,799,107,8.80%,19.80%,0.178,0.294,0.259,0.331,0.437,0.332,,112,-8.7,79.6,-18.9,27.2
6,SEA,162,2391,6201,210,758,728,118,8.80%,25.90%,0.17,0.301,0.242,0.321,0.413,0.319,,107,-1.6,47.9,4,26.2
7,SDP,162,2329,6180,205,752,719,137,10.60%,21.20%,0.17,0.283,0.244,0.329,0.413,0.323,,107,5.5,59.3,-8.3,26.1
8,TOR,162,2403,6220,188,746,705,99,8.80%,20.90%,0.161,0.301,0.256,0.329,0.417,0.324,,107,-12.4,39.6,7.6,25.8
9,CHC,162,2328,6220,196,819,786,140,9.20%,22.40%,0.167,0.303,0.254,0.33,0.421,0.326,,104,14.8,48.9,-11.4,24.9
10,MIN,162,2427,6219,233,778,745,86,9.60%,26.60%,0.184,0.304,0.243,0.326,0.428,0.327,,109,-1,64.2,-27.1,24.8
11,BAL,162,2441,6123,183,807,780,114,8.40%,22.40%,0.166,0.305,0.255,0.321,0.421,0.32,,105,13.3,53,-29.2,23.1
12,PHI,162,2323,6207,220,796,771,141,8.70%,23.90%,0.182,0.308,0.256,0.327,0.438,0.329,,105,2.7,44.9,-51.3,20.4
13,ARI,162,2406,6124,166,746,706,166,8.80%,20.40%,0.158,0.293,0.25,0.322,0.408,0.317,,97,8.9,-11.1,0.1,19.7
14,MIL,162,2358,6084,165,728,696,129,9.70%,23.20%,0.146,0.292,0.24,0.319,0.385,0.309,,92,0.4,-61,44.4,19
15,NYM,162,2374,6056,215,717,692,118,8.70%,22.00%,0.169,0.275,0.238,0.316,0.407,0.315,,101,7.8,13.6,-29.6,19
16,STL,162,2298,6204,209,719,697,101,9.20%,21.40%,0.166,0.291,0.25,0.326,0.416,0.322,,104,-6.4,20.3,-44,18.7
17,LAA,162,2314,6145,231,739,708,72,8.40%,24.80%,0.181,0.295,0.245,0.317,0.426,0.32,,101,-8,0.8,-47.5,16.2
18,SFG,162,2441,6095,174,674,651,57,8.90%,24.50%,0.149,0.29,0.235,0.312,0.383,0.304,,93,0.6,-53.5,4.3,15.8
19,CLE,162,2372,6096,124,662,622,151,7.70%,18.70%,0.131,0.292,0.25,0.313,0.381,0.302,,92,8.1,-48.2,-7.5,15.1
20,NYY,162,2321,5973,219,673,650,100,9.30%,23.90%,0.171,0.266,0.227,0.304,0.397,0.304,,94,-15.1,-56.2,0.2,14.7
21,CIN,162,2492,6195,198,783,747,190,9.00%,24.20%,0.17,0.306,0.249,0.327,0.42,0.325,,98,12.7,-5.5,-61.6,14.3
22,BOS,162,2391,6174,182,772,734,112,7.90%,22.20%,0.166,0.31,0.258,0.324,0.424,0.324,,99,-10.6,-16.4,-57.9,13.5
23,PIT,162,2412,6089,159,692,662,117,9.10%,24.00%,0.153,0.296,0.239,0.315,0.392,0.308,,90,1.2,-71.5,-2.4,13.3
24,KCR,162,2369,5985,163,676,651,163,6.90%,23.30%,0.153,0.296,0.244,0.303,0.398,0.303,,87,5.1,-89.5,0,11.4
25,DET,162,2422,6080,165,661,635,85,8.40%,24.20%,0.146,0.291,0.236,0.305,0.382,0.3,,89,3.9,-79.4,-23.3,10.4
26,MIA,162,2420,6043,166,666,633,86,7.10%,21.30%,0.146,0.308,0.259,0.316,0.405,0.312,,94,-15.5,-60.7,-42.8,10.2
27,WSN,162,2305,6085,151,700,665,127,7.00%,18.90%,0.142,0.293,0.254,0.314,0.396,0.309,,92,0.8,-60,-51.9,9.5
28,OAK,162,2432,5966,171,585,563,149,8.30%,25.10%,0.147,0.276,0.223,0.298,0.37,0.293,,89,-6.2,-86.3,-49,6.7
29,CHW,162,2387,5980,171,641,617,86,6.30%,23.80%,0.146,0.289,0.238,0.291,0.384,0.292,,83,-4.7,-128.1,-42.1,3.3
30,COL,162,2352,6055,163,721,685,76,7.40%,25.50%,0.156,0.315,0.249,0.31,0.405,0.31,,78,-19.9,-185.7,-14.9,0.6
