#,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,RAA,Def
1,MIL,P,12987,16,-1,-3,2,-4,2,54,8,68,7.8,5,22.2,4.2,39.2,7.7,20.7,41,35,45.3
2,TEX,P,12927,4,-1,4,3,7,-2,17,-3,35,9.2,3.7,-1.2,15,26.7,5.1,10.2,20,16,36.5
3,ARI,P,12918,-13,8,5,0,2,6,28,2,46,0.9,-0.3,20.8,12.3,33.7,4.5,-10.2,31,25,35.1
4,KCR,2B,12681,-2,1,-2,-1,-3,0,-9,0,-15,4.4,1.9,0.3,6.1,12.8,2.3,-6.3,28,21,31.2
5,COL,SS,12726,-16,-4,6,7,9,-2,8,0,20,16.5,-2.1,6.3,14.8,35.5,6.3,-14.3,0,-2,26.8
6,SEA,LF,13044,3,-4,3,2,0,3,-7,20,15,0.3,0.3,2.3,-5.9,-3,-0.5,3.3,24,20,23.1
7,SDP,P,12969,-8,-1,0,1,7,2,26,19,40,2.1,-0.5,16.2,8.4,26.2,4.1,-9.4,27,21,19.1
8,TOR,P,13065,9,3,-3,1,5,4,47,23,85,6.1,1.6,17,4.9,29.6,4.9,12,11,12,13.2
9,HOU,LF,13008,-20,0,2,7,1,13,1,14,15,4.2,3.1,12.7,-7.4,12.6,3.3,-18.1,9,8,10.6
10,CHC,P,12918,-3,-1,-1,2,2,6,24,12,36,0.6,-0.9,8,-5.7,1.9,0.3,-2,19,13,8.4
11,SFG,P,12912,22,-1,0,-2,2,-10,-31,11,-15,-2.9,-1.1,-8.3,-4.9,-17.1,-3,19.2,15,10,3.6
12,NYY,P,12957,16,1,0,-2,-1,-10,4,17,27,-0.9,-2.5,-7.5,0.2,-10.7,-1.9,20,4,2,3.5
13,CLE,1B,12996,0,0,-1,-1,2,5,10,18,24,-1.2,-2.2,0.7,9.6,6.8,0.2,2.5,17,14,3.5
14,LAD,P,13017,8,5,-2,4,1,2,17,34,57,9.7,3.5,5.5,-11,7.6,3.3,3.7,-3,0,0.8
15,DET,P,12981,10,-2,0,0,-3,3,-18,33,22,-2.5,0.2,-4.3,-23.6,-30.2,-5,5.4,-7,-5,-5.3
16,TBR,2B,12978,1,4,1,3,1,-14,42,-2,25,-1.5,-1.2,12.5,-7.1,2.8,0.1,-6.9,2,1,-5.6
17,OAK,CF,12777,-16,-3,5,-3,8,-19,-51,-7,-79,-1.9,0.5,-21.1,5.1,-17.3,-2.1,-15.6,-19,-16,-6.1
18,STL,1B,12855,-16,-1,0,-3,4,7,-32,31,-7,0.5,-1,-9,-8.4,-17.9,-2.9,-18,-5,-6,-7.7
19,MIN,P,13062,3,0,1,2,-1,0,1,21,33,-2.4,-3.6,2.4,-2.8,-6.3,-1.7,6.6,-12,-9,-8.2
20,LAA,P,12885,-2,-2,-2,-4,-5,7,-7,13,1,-2.4,1.8,-18.2,-4.2,-23,-3.2,-12.3,-20,-15,-11.2
21,BAL,P,13083,6,-2,0,3,-4,-1,29,1,34,-5.1,1.7,14.1,18,28.8,2.2,6,-16,-12,-12.6
22,PHI,1B,12981,-13,-2,-1,-10,0,1,-8,-2,-30,-6.7,-5.8,-8.6,2.4,-18.7,-4.2,-15.8,-2,-4,-14.4
23,ATL,P,12960,7,0,2,0,2,5,0,5,16,1.3,-2.2,-9.1,-9.9,-19.9,-3.2,10.1,-15,-11,-14.6
24,PIT,LF,12870,17,1,-1,-2,-13,-8,11,12,3,-7.9,-1.9,1.5,-13.4,-21.7,-5,25.9,2,1,-15.6
25,WSN,P,12855,-18,0,-3,-1,7,-6,3,-15,-30,-9.7,-3.5,-16.8,17.5,-12.5,-3.3,-19.2,1,2,-19.6
26,CIN,P,12954,-9,-1,2,1,-4,-1,-49,26,-38,-1.3,2.6,-14.2,-4.8,-17.7,-2.5,-15.4,-36,-29,-24.7
27,NYM,P,12747,14,-1,-6,-3,-4,2,-18,-3,-25,-6.2,0.2,-9.7,3.7,-12.1,-2.9,16.3,-15,-12,-27.2
28,BOS,CF,12870,-6,2,2,-2,11,-1,-33,3,-20,8.7,-0.8,-3.8,-3,1.1,1.5,-8.3,-51,-40,-29
29,MIA,CF,12918,3,-2,-2,3,-12,5,-15,15,-11,-7.7,2.9,-4.9,-3.1,-12.9,-3.3,4.8,-28,-22,-31.8
30,CHW,1B,12885,6,-2,-3,-3,-11,-10,-22,5,-59,-11.8,0.9,-6.2,-2,-19.1,-4.3,5,-17,-14,-39
