Rank,Country,Satisfied,Neutral,Dissatisfied,Don't Know
1,India,89%,8%,3%,0%
2,Mexico,85%,11%,4%,0%
3,Turkey,80%,15%,5%,0%
4,Norway,79%,12%,7%,2%
5,United States,78%,15%,6%,1%
6,Denmark,78%,16%,4%,2%
7,Spain,77%,15%,7%,1%
8,Argentina,75%,16%,9%,0%
9,Brazil,74%,16%,9%,1%
10,China,74%,21%,5%,0%
11,Canada,74%,20%,6%,0%
12,United Kingdom,74%,20%,7%,0%
13,Malaysia,73%,19%,7%,1%
14,Poland,73%,19%,8%,0%
15,Chile,73%,19%,8%,0%
16,Austria,72%,18%,8%,2%
17,Germany,71%,18%,9%,2%
18,Belgium,71%,18%,8%,3%
19,Switzerland,71%,20%,8%,1%
20,Romania,70%,23%,6%,1%
21,Netherlands,70%,21%,7%,2%
22,Luxembourg,70%,21%,8%,1%
23,Australia,70%,20%,10%,0%
24,Italy,69%,21%,9%,1%
25,New Zealand,68%,22%,10%,0%
26,Portugal,68%,18%,14%,0%
27,France,68%,19%,12%,1%
28,Sweden,66%,23%,10%,1%
29,Greece,65%,27%,8%,0%
30,Czech Republic,64%,27%,8%,1%
31,Hungary,64%,25%,10%,1%
32,Singapore,61%,28%,10%,1%
33,Hong Kong,49%,40%,11%,0%
34,Japan,42%,30%,21%,7%
