,opdb_id,is_machine,name,common_name,shortname,physical_machine,ipdb_id,manufacture_date,type,display,player_count,features,keywords,description,created_at,updated_at,manufacturer_id,manufacturer_name,manufacturer_full_name,manufacturer_created_at,manufacturer_updated_at,is_alias,title,primary,images_type,urls_medium,urls_large,urls_small,sizes_medium_width,sizes_medium_height,sizes_large_width,sizes_large_height,sizes_small_width,sizes_small_height
0,G50L9-MDxXD,True,Challenger,,,1.0,483.0,1971-03-01,em,reels,2.0,Head-to-head play ,,,2018-03-11,2018-05-08,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-medium.jpg,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-large.jpg,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-small.jpg,640.0,445.0,640.0,445.0,250.0,174.0
1,GR7V3-MQPyL,True,Moon Shot,,,1.0,1628.0,1969-08-01,em,reels,4.0,,,,2018-03-11,2018-05-08,3,Chicago Coin,Chicago Coin Machine Mfg. Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/1f4c8baa-3263-45cc-9cdf-8bca641f5270-medium.jpg,https://img.opdb.org/1f4c8baa-3263-45cc-9cdf-8bca641f5270-large.jpg,https://img.opdb.org/1f4c8baa-3263-45cc-9cdf-8bca641f5270-small.jpg,640.0,603.0,765.0,721.0,250.0,236.0
2,GRDlQ-MJ9yJ,True,Galaxy Play,,,1.0,4631.0,1986-01-01,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-05,4,Cic Play,Consolidated Industries Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/eb583dfc-cfc5-42fa-9459-eefa0357bf56-medium.jpg,https://img.opdb.org/eb583dfc-cfc5-42fa-9459-eefa0357bf56-large.jpg,https://img.opdb.org/eb583dfc-cfc5-42fa-9459-eefa0357bf56-small.jpg,640.0,572.0,671.0,600.0,250.0,224.0
3,G4xlK-MDEKL,True,Free Fall,,,1.0,949.0,1974-10-01,em,reels,1.0,Add-a-ball ,,,2018-03-11,2018-04-22,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-medium.jpg,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-large.jpg,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-small.jpg,456.0,431.0,456.0,431.0,250.0,236.0
4,G4Xdq-MLBlD,True,The 30's,,,1.0,2532.0,1977-01-04,em,reels,1.0,,,,2018-03-11,2022-06-02,5,Playmatic,Playmatic,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/58d069fe-f13d-4348-aaf2-822fb0cff245-medium.jpg,https://img.opdb.org/58d069fe-f13d-4348-aaf2-822fb0cff245-large.jpg,https://img.opdb.org/58d069fe-f13d-4348-aaf2-822fb0cff245-small.jpg,308.0,314.0,308.0,314.0,245.0,250.0
5,G5WPp-MLyZJ,True,Sisters,,,1.0,4108.0,1979-01-01,ss,reels,1.0,Conversion kit ,,,2018-03-11,2018-04-22,6,Mondialmatic,Mondialmatic,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/3c1cbba6-ee95-4221-9048-3f80b97c53da-medium.jpg,https://img.opdb.org/3c1cbba6-ee95-4221-9048-3f80b97c53da-large.jpg,https://img.opdb.org/3c1cbba6-ee95-4221-9048-3f80b97c53da-small.jpg,226.0,256.0,226.0,256.0,221.0,250.0
6,GRnX6-MQk8L,True,Space Mission,,,1.0,2253.0,1976-01-01,em,reels,4.0,,,,2018-03-11,2018-05-02,7,Williams,"Williams Electronic Games, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-medium.jpg,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-large.jpg,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-small.jpg,640.0,459.0,836.0,600.0,250.0,179.0
7,GRpKY-MDlYQ,True,Groovy,,,1.0,1091.0,1970-07-01,em,reels,4.0,,,,2018-03-11,2018-05-08,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-medium.jpg,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-large.jpg,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-small.jpg,400.0,393.0,400.0,393.0,250.0,246.0
8,G5QBX-MQd1L,True,Big Ben,,,1.0,231.0,1954-05-01,em,lights,1.0,,,,2018-03-11,2018-05-14,7,Williams,"Williams Electronic Games, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-medium.jpg,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-large.jpg,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-small.jpg,640.0,480.0,800.0,600.0,250.0,188.0
9,GrEVb-MLOxJ,True,City Slicker,,,1.0,527.0,1987-03-01,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-01,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-medium.jpg,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-large.jpg,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-small.jpg,630.0,600.0,630.0,600.0,250.0,238.0
10,G48JX-MJw3J,True,Big Day,,,1.0,243.0,1964-08-01,em,reels,4.0,,,,2018-03-11,2018-05-12,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-medium.jpg,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-large.jpg,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-small.jpg,640.0,506.0,769.0,608.0,250.0,198.0
