opdb_id_,first_five,is_machine,name,common_name,shortname,physical_machine,ipdb_id,manufacture_date,year_,type,display,player_count,features,keywords,manufacturer_name,manufacturer_full_name,title,images_type,urls_medium,urls_large,urls_small,sizes_medium_width,sizes_medium_height,sizes_large_width,sizes_large_height,sizes_small_width,sizes_small_height,opdb_id,group_name
G50L9-MDxXD,G50L9,True,Challenger,,,1,483,1971-03-01,1971,em,reels,2,Head-to-head play ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-medium.jpg,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-large.jpg,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-small.jpg,640,445,640,445,250,174,G50L9,Challenger
G4xlK-MDEKL,G4xlK,True,Free Fall,,,1,949,1974-10-01,1974,em,reels,1,Add-a-ball ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-medium.jpg,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-large.jpg,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-small.jpg,456,431,456,431,250,236,G4xlK,Sky Jump / Free Fall
GRnX6-MQk8L,GRnX6,True,Space Mission,,,1,2253,1976-01-01,1976,em,reels,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-medium.jpg,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-large.jpg,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-small.jpg,640,459,836,600,250,179,GRnX6,Space Mission / Space Odyssey
GRpKY-MDlYQ,GRpKY,True,Groovy,,,1,1091,1970-07-01,1970,em,reels,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-medium.jpg,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-large.jpg,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-small.jpg,400,393,400,393,250,246,GRpKY,Groovy / Crescendo
G5QBX-MQd1L,G5QBX,True,Big Ben,,,1,231,1954-05-01,1954,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-medium.jpg,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-large.jpg,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-small.jpg,640,480,800,600,250,188,G5QBX,Big Ben
GrEVb-MLOxJ,GrEVb,True,City Slicker,,,1,527,1987-03-01,1987,ss,alphanumeric,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-medium.jpg,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-large.jpg,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-small.jpg,630,600,630,600,250,238,GrEVb,City Slicker
G48JX-MJw3J,G48JX,True,Big Day,,,1,243,1964-08-01,1964,em,reels,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-medium.jpg,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-large.jpg,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-small.jpg,640,506,769,608,250,198,G48JX,Big Day
G5728-MDbjD,G5728,True,Flash Gordon,,FG,1,874,1980-05-13,1980,ss,alphanumeric,4,,movie ,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/9ecf76df-e553-4641-97e6-a548d9d871a0-medium.jpg,https://img.opdb.org/9ecf76df-e553-4641-97e6-a548d9d871a0-large.jpg,https://img.opdb.org/9ecf76df-e553-4641-97e6-a548d9d871a0-small.jpg,640,585,656,600,250,229,G5728,Flash Gordon
GrZwo-MJNlQ,GrZwo,True,Surfer,,,1,2465,1976-10-01,1976,em,reels,2,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/f61f64be-3441-45e9-91e5-a84261fa58f8-medium.jpg,https://img.opdb.org/f61f64be-3441-45e9-91e5-a84261fa58f8-large.jpg,https://img.opdb.org/f61f64be-3441-45e9-91e5-a84261fa58f8-small.jpg,640,426,900,599,250,166,GrZwo,Surf Champ / Surfer
G4JZ4-ML0pL,G4JZ4,True,High Roller Casino,,HRC,1,4502,2001-01-01,2001,ss,dmd,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/0ee443ec-62db-4d4c-ad07-7ba5fa00c6a5-medium.jpg,https://img.opdb.org/0ee443ec-62db-4d4c-ad07-7ba5fa00c6a5-large.jpg,https://img.opdb.org/0ee443ec-62db-4d4c-ad07-7ba5fa00c6a5-small.jpg,640,460,835,600,250,180,G4JZ4,High Roller Casino
