,regions,#_locations,#_machines
0,sandiego,86,196
1,cheyenne,10,45
2,wichita,23,83
3,memphis,8,36
4,montreal,35,116
5,boise,68,224
6,rhode-island,16,168
7,west-oz,34,110
8,bellingham,20,85
9,richmond,22,110
10,philadelphia,65,434
11,centralpa,107,231
12,reno,73,187
13,eugene,38,112
14,champaign,73,183
15,manitoba,36,92
16,toronto,60,262
17,wisconsin,480,1167
18,minnesota,299,775
19,nebraska,101,305
20,colorado,223,963
21,ca-central,61,181
22,bc,107,303
23,ca-valley,70,173
24,indiana,171,887
25,brisbane,84,310
26,connecticut,57,179
27,nashville,19,432
28,portland,259,953
29,oregon-south,45,63
30,buffalo,50,174
31,youngstown,37,479
32,calgary,32,90
33,massachusetts,107,368
34,oklahoma,26,154
35,columbia-mo,23,80
36,raleigh-durham,63,147
37,san-antonio,24,89
38,columbia,19,92
39,cincinnati,32,202
40,atlanta,59,208
41,bend,17,28
42,tucson,26,72
43,ottawa,28,95
44,louisville,24,172
45,dc,50,202
46,jacksonville,40,248
47,spokane,82,194
48,chicago,207,731
49,seattle,215,1053
50,hawaii,11,29
51,birmingham,16,121
52,charlotte,26,159
53,iowa,106,308
54,tallahassee,5,29
55,asheville,19,163
56,houston,44,206
57,southflorida,42,220
58,tampabay,73,245
59,baltimore,37,203
60,syracuse,35,68
61,lasvegas,40,465
62,hudsonvalley,55,160
63,charleston,54,93
64,rochester,36,171
65,oceancity,21,41
66,cleveland,95,370
67,stlouis,124,448
68,columbus,65,277
69,anchorage,10,18
70,nsw,124,296
71,japan,91,349
72,tricities,5,47
73,savannah,25,208
74,kansascity,74,298
75,newjersey,99,530
76,detroit,112,546
77,phoenix,77,479
78,florida-central,87,402
79,albuquerque,13,59
80,west-virginia,59,163
81,utah,55,311
82,sacramento,92,188
83,dfw,77,303
84,nyc,83,234
85,arkansas,22,146
86,new-hampshire,43,214
87,vermont,35,173
88,maine,83,278
89,austin,56,302
90,la,305,932
91,michigan-north,64,265
92,michigan-sw,80,619
93,bayarea,215,706
94,uk,110,447
95,pittsburgh,122,985
96,delaware,25,149
97,finland,91,516
