,opdb_id,is_machine_group,name,shortname,description,created_at,updated_at
0,G5pe4,True,Medieval Madness,MM,,2018-03-12,2018-03-12
1,G4do5,True,Attack from Mars,AFM,,2018-03-12,2018-03-12
2,GrEZ5,True,El Dorado,,,2018-03-12,2018-03-12
3,GRoz4,True,Batman 66,B66,,2018-03-12,2018-03-12
4,G41d5,True,Game of Thrones,GOT,,2018-03-13,2018-03-13
5,G5WBr,True,The Big Lebowski,TBL,,2018-03-13,2018-03-13
6,G5nz5,True,The Walking Dead,TWD,,2018-03-13,2018-03-13
7,G4jXr,True,KISS,KISS,,2018-03-13,2018-03-13
8,G4qX5,True,KISS,KISS,,2018-03-13,2018-03-13
9,GR9Nr,True,Ghostbusters,GB,,2018-03-13,2018-03-13
10,Gryw4,True,Star Trek,ST,,2018-03-13,2018-03-13
11,GrPOR,True,Mustang,,,2018-03-13,2018-03-13
12,GRVq4,True,Iron Man,IM,,2018-03-13,2018-03-13
13,G4835,True,Cactus Canyon,CC,,2018-03-13,2018-03-13
14,G43W4,True,AC/DC,ACDC,,2018-03-14,2018-03-14
15,GRw0r,True,Earthshaker,ES,,2018-03-14,2018-03-14
16,GRBE4,True,Metallica,MET,,2018-03-14,2018-03-14
17,G4xyR,True,The Wizard of Oz,WOZ,,2018-03-14,2018-03-14
18,G5vLR,True,Star Wars,SW,,2018-03-16,2018-03-16
19,G420r,True,Star Wars,SWDE,,2018-03-16,2018-03-16
20,GR6Or,True,WrestleMania,WWE,,2018-03-16,2018-03-16
21,GrNnr,True,Jungle Queen/Princess,,,2018-03-16,2018-03-16
22,GRL9r,True,Star Wars Episode I,SWE1,,2018-03-16,2018-03-16
23,G4JZ4,True,High Roller Casino,HRC,,2018-03-16,2018-03-16
24,G50Wr,True,Revenge From Mars,RFM,,2018-03-16,2018-03-16
25,G57X4,True,No Good Gofers,NGG,,2018-03-16,2018-03-16
26,G5bYr,True,The Hobbit,TH,,2018-03-17,2018-03-17
27,GrXlr,True,Spider-Man,SM,,2018-03-17,2018-03-17
28,G5D94,True,Spider-Man,SM,,2018-03-17,2018-03-17
29,GRYX4,True,Whoa Nellie / PBR,,,2018-03-17,2018-03-17
30,G4ODR,True,The Addams Family,TAF,,2018-03-17,2018-03-17
31,GRK95,True,The Flintstones,FS,,2018-03-17,2018-03-17
32,GrkL5,True,TRON: Legacy,TRON,,2018-03-17,2018-03-17
33,GrZBr,True,Avatar,,,2018-03-17,2018-03-17
34,GredR,True,The Rolling Stones,TRS,,2018-03-17,2018-03-17
35,G5Qz4,True,Rolling Stones,RS,,2018-03-17,2018-03-17
36,GRzNR,True,The Avengers,TAV,,2018-03-17,2018-03-17
37,G4llj,True,Tales of the Arabian Nights,TOTAN,,2018-03-17,2018-03-17
38,GRpee,True,Bride of Pinbot,BOP,,2018-03-17,2018-03-17
39,Grd2o,True,Transformers The Pin,,,2018-03-17,2018-03-17
40,G4ELZ,True,America's Most Haunted,AMH,,2018-03-17,2018-03-17
41,G5oEz,True,Escape from the Lost World,ELW,,2018-03-17,2018-03-17
42,Gr18d,True,New Canasta,,,2018-03-18,2018-03-18
43,GRWyB,True,Ripley's Believe It or Not!,RBION,,2018-03-18,2018-03-18
44,GRnPz,True,Transformers,TF,,2018-03-18,2018-03-18
45,Grj6X,True,X-Men,XM,,2018-03-18,2018-03-18
46,GrqZX,True,Lord of the Rings,LOTR,,2018-03-18,2018-03-18
47,G59zN,True,Batman Forever,BF,,2018-03-18,2018-03-18
48,G4yVw,True,Batman,BDK,,2018-03-18,2018-03-18
49,G4PBO,True,Alien,,,2018-03-18,2018-03-18
50,G5V8q,True,Full Throttle,FTH,,2018-03-18,2018-03-18
51,Gr8l3,True,Indianapolis 500,I500,,2018-03-18,2018-03-18
52,Gr3EW,True,Monster Bash,MB,,2018-03-18,2018-03-18
53,G5we0,True,Starship Troopers,SST,,2018-03-18,2018-03-18
54,G5BLE,True,Theatre of Magic,TOM,,2018-03-18,2018-03-18
55,Grxvy,True,Baywatch,BW,,2018-03-18,2018-03-18
56,GRvBL,True,The Simpsons Pinball Party,TSPP,,2018-03-18,2018-03-18
57,Gr2L0,True,Harley Davidson,HD,,2018-03-18,2018-03-18
58,G56lO,True,Harley Davidson,,,2018-03-18,2018-03-18
59,G4N6n,True,Big Buck Hunter Pro,BBH,,2018-03-18,2018-03-18
60,G5LW9,True,Family Guy / Shrek,,,2018-03-18,2018-03-18
61,GrJ2Z,True,Dirty Harry,DH,,2018-03-18,2018-03-18
62,GR0lW,True,Popeye Saves the Earth,PSTE,,2018-03-18,2018-03-18
63,GR7ZX,True,Pirates of the Caribbean,POTC,,2018-03-18,2018-03-18
64,GRbPY,True,Pirates of the Caribbean,POTC,,2018-03-18,2018-03-18
65,G4X2l,True,Dialed In!,DI,,2018-03-18,2018-03-18
66,GRD79,True,Total Nuclear Annihilation,TNA,,2018-03-18,2018-03-18
67,G5YWX,True,Nascar,,,2018-03-18,2018-03-18
68,GrO0D,True,NBA Fastbreak,NBAFB,,2018-03-18,2018-03-18
69,G5K19,True,NBA,NBA,,2018-03-18,2018-03-18
70,G4kBL,True,The Lost World Jurassic Park,LW,,2018-03-18,2018-03-18
